([0], [5, 6, 9, 10], [(5, 5), (5, 6), (6, 9), (6, 9), (9, 10), (10, 10)])
([2], [3, 4, 7, 8], [(3, 3), (3, 4), (4, 7), (4, 7), (7, 8), (8, 8)])
([3], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([4], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([6], [3, 4, 7, 8], [(3, 3), (3, 4), (4, 7), (4, 7), (7, 8), (8, 8)])
([8], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([28], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([29], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([30], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([31], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([40], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([79], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([80], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([81], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([83], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([92], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([93], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([95], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([96], [5, 6, 13, 14], [(5, 5), (5, 6), (6, 13), (6, 13), (13, 14), (14, 14)])
([105], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([106], [5, 6, 14, 15], [(5, 5), (5, 6), (6, 15), (6, 15), (14, 14), (14, 15)])
([117], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([148], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([149], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 6), (3, 6), (6, 7), (7, 7)])
([152], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([189], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([190], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([206], [3, 4, 11, 12], [(3, 12), (3, 12), (3, 4), (4, 4), (11, 11), (11, 12)])
([209], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([211], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([220], [5, 6, 14, 15], [(5, 5), (5, 6), (6, 15), (6, 15), (14, 14), (14, 15)])
([222], [3, 4, 14, 15], [(3, 3), (3, 4), (4, 15), (4, 15), (14, 15), (14, 14)])
([249], [3, 4, 11, 12], [(3, 3), (3, 4), (4, 11), (4, 11), (11, 12), (12, 12)])
([280], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([281], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([284], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([290], [2, 3, 11, 12], [(2, 3), (2, 12), (2, 12), (3, 3), (11, 11), (11, 12)])
([291], [2, 3, 11, 12], [(2, 3), (2, 12), (2, 12), (3, 3), (11, 11), (11, 12)])
([292], [3, 4, 9, 10], [(3, 4), (3, 10), (3, 10), (4, 4), (9, 9), (9, 10)])
([326], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([373], [2, 3, 14, 15], [(2, 3), (2, 15), (2, 15), (3, 3), (14, 14), (14, 15)])
([407], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([410], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([456], [3, 4, 14, 15], [(3, 3), (3, 4), (4, 15), (4, 15), (14, 14), (14, 15)])
([458], [5, 6, 14, 15], [(5, 5), (5, 6), (6, 15), (6, 15), (14, 14), (14, 15)])
([463], [2, 3, 11, 12], [(2, 2), (2, 3), (3, 11), (3, 11), (11, 12), (12, 12)])
([464], [2, 3, 11, 12], [(2, 2), (2, 3), (3, 11), (3, 11), (11, 12), (12, 12)])
([465], [2, 3, 10, 11], [(2, 2), (2, 3), (3, 10), (3, 10), (10, 11), (11, 11)])
([471], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([473], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([541], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([590], [1, 2, 11, 12], [(1, 2), (1, 12), (1, 12), (2, 2), (11, 11), (11, 12)])
([591], [2, 3, 10, 11], [(2, 11), (2, 11), (2, 3), (3, 3), (10, 10), (10, 11)])
([592], [2, 3, 9, 10], [(2, 10), (2, 10), (2, 3), (3, 3), (9, 9), (9, 10)])
([679], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([681], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 15), (14, 14)])
([682], [2, 3, 8, 9], [(2, 2), (2, 3), (3, 8), (3, 8), (8, 9), (9, 9)])
([701], [2, 3, 9, 10], [(2, 10), (2, 10), (2, 3), (3, 3), (9, 9), (9, 10)])
([797], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([839], [2, 3, 9, 10], [(2, 2), (2, 3), (3, 9), (3, 9), (9, 10), (10, 10)])
([846], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([848], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 15), (14, 14)])
([890], [2, 3, 12, 13], [(2, 3), (2, 13), (2, 13), (3, 3), (12, 12), (12, 13)])
([927], [1, 2, 5, 6], [(1, 1), (1, 2), (2, 5), (2, 5), (5, 6), (6, 6)])
([944], [2, 3, 9, 10], [(2, 2), (2, 3), (3, 9), (3, 9), (9, 10), (10, 10)])
([965], [1, 2, 10, 11], [(1, 1), (1, 2), (2, 10), (2, 10), (10, 11), (11, 11)])
([977], [3, 4, 14, 15], [(3, 3), (3, 4), (4, 15), (4, 15), (14, 14), (14, 15)])
([987], [1, 2, 11, 12], [(1, 1), (1, 2), (2, 11), (2, 11), (11, 12), (12, 12)])
([988], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1004], [3, 4, 14, 15], [(3, 3), (3, 4), (4, 15), (4, 15), (14, 14), (14, 15)])
([1033], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1034], [1, 2, 14, 15], [(1, 1), (1, 2), (2, 15), (2, 15), (14, 14), (14, 15)])
([1036], [2, 3, 14, 15], [(2, 2), (2, 3), (3, 15), (3, 15), (14, 14), (14, 15)])
([1073], [2, 3, 8, 9], [(2, 3), (2, 9), (2, 9), (3, 3), (8, 8), (8, 9)])
([1074], [1, 2, 9, 10], [(1, 2), (1, 10), (1, 10), (2, 2), (9, 9), (9, 10)])
([1075], [2, 3, 8, 9], [(2, 3), (2, 9), (2, 9), (3, 3), (8, 8), (8, 9)])
