([389], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([450], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([471], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([518], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([544], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([551], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([561], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([578], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([585], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([593], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 12), (11, 12), (12, 13), (13, 13)])
([613], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([624], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([636], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([705], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([715], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([718], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([722], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([730], [10, 11, 12, 13], [(10, 11), (10, 10), (11, 12), (11, 12), (12, 13), (13, 13)])
([760], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([764], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([765], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 12), (11, 12), (12, 13), (13, 13)])
([777], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([800], [12, 13, 14, 15], [(12, 12), (12, 13), (13, 14), (13, 14), (14, 15), (15, 15)])
([854], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 12), (11, 12), (12, 13), (13, 13)])
([868], [10, 11, 12, 13], [(10, 10), (10, 11), (11, 12), (11, 12), (12, 13), (13, 13)])
